SortOrder,TimeClass,DisplayDistance,DisplayTitle,DisplayDescription,FileName,Enabled,ExportBundleID
110,All,Overall,Current Unofficial Overall Champions (Open),These rankings compare age-adjusted performances across overall events using official and unofficial results from all participants over the last 12 months.,overall-current-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
111,All,Overall,All Time Unofficial Overall Champions (Open),These rankings compare age-adjusted performances across overall events using official and unofficial results from all participants over all-time.,overall-alltime-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
160,All,5km,Current Unofficial 5km Champions (Open),These rankings compare age-adjusted performances across 5km events using official and unofficial results from all participants over the last 12 months.,5km-current-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
161,All,5km,All Time Unofficial 5km Champions (Open),These rankings compare age-adjusted performances across 5km events using official and unofficial results from all participants over all-time.,5km-alltime-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
150,All,10km,Current Unofficial 10km Champions (Open),These rankings compare age-adjusted performances across 10km events using official and unofficial results from all participants over the last 12 months.,10km-current-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
151,All,10km,All Time Unofficial 10km Champions (Open),These rankings compare age-adjusted performances across 10km events using official and unofficial results from all participants over all-time.,10km-alltime-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
140,All,10 Mile,Current Unofficial 10 Mile Champions (Open),These rankings compare age-adjusted performances across 10 Mile events using official and unofficial results from all participants over the last 12 months.,10mile-current-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
141,All,10 Mile,All Time Unofficial 10 Mile Champions (Open),These rankings compare age-adjusted performances across 10 Mile events using official and unofficial results from all participants over all-time.,10mile-alltime-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
130,All,Half Marathon,Current Unofficial Half Marathon Champions (Open),These rankings compare age-adjusted performances across half marathon events using official and unofficial results from all participants over the last 12 months.,halfmarathon-current-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
131,All,Half Marathon,All Time Unofficial Half Marathon Champions (Open),These rankings compare age-adjusted performances across half marathon events using official and unofficial results from all participants over all-time.,halfmarathon-alltime-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
120,All,Marathon,Current Unofficial Marathon Champions (Open),These rankings compare age-adjusted performances across marathon events using official and unofficial results from all participants over the last 12 months.,marathon-current-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
121,All,Marathon,All Time Unofficial Marathon Champions (Open),These rankings compare age-adjusted performances across marathon events using official and unofficial results from all participants over all-time.,marathon-alltime-all-everyone.csv,TRUE,20260629T223030374Z-2160E180
10,Official,Overall,Current Official Overall Champions (Open),These rankings compare age-adjusted performances across overall events using official race results from all participants over the last 12 months.,overall-current-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
11,Official,Overall,All Time Official Overall Champions (Open),These rankings compare age-adjusted performances across overall events using official race results from all participants over all-time.,overall-alltime-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
60,Official,5km,Current Official 5km Champions (Open),These rankings compare age-adjusted performances across 5km events using official race results from all participants over the last 12 months.,5km-current-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
61,Official,5km,All Time Official 5km Champions (Open),These rankings compare age-adjusted performances across 5km events using official race results from all participants over all-time.,5km-alltime-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
50,Official,10km,Current Official 10km Champions (Open),These rankings compare age-adjusted performances across 10km events using official race results from all participants over the last 12 months.,10km-current-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
51,Official,10km,All Time Official 10km Champions (Open),These rankings compare age-adjusted performances across 10km events using official race results from all participants over all-time.,10km-alltime-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
40,Official,10 Mile,Current Official 10 Mile Champions (Open),These rankings compare age-adjusted performances across 10 Mile events using official race results from all participants over the last 12 months.,10mile-current-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
41,Official,10 Mile,All Time Official 10 Mile Champions (Open),These rankings compare age-adjusted performances across 10 Mile events using official race results from all participants over all-time.,10mile-alltime-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
30,Official,Half Marathon,Current Official Half Marathon Champions (Open),These rankings compare age-adjusted performances across half marathon events using official race results from all participants over the last 12 months.,halfmarathon-current-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
31,Official,Half Marathon,All Time Official Half Marathon Champions (Open),These rankings compare age-adjusted performances across half marathon events using official race results from all participants over all-time.,halfmarathon-alltime-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
20,Official,Marathon,Current Official Marathon Champions (Open),These rankings compare age-adjusted performances across marathon events using official race results from all participants over the last 12 months.,marathon-current-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
21,Official,Marathon,All Time Official Marathon Champions (Open),These rankings compare age-adjusted performances across marathon events using official race results from all participants over all-time.,marathon-alltime-official-everyone.csv,TRUE,20260629T223030374Z-2160E180
