SortOrder,DisplayTitle,DisplayDescription,FileName,Enabled
10,Current Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official and unofficial results from family members over the last 12 months.,overall-current-all-family.csv,TRUE
20,All Time Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official and unofficial results from family members over all-time.,overall-alltime-all-family.csv,TRUE
30,Current 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official and unofficial results from family members over the last 12 months.,5km-current-all-family.csv,TRUE
40,All Time 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official and unofficial results from family members over all-time.,5km-alltime-all-family.csv,TRUE
50,Current 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official and unofficial results from family members over the last 12 months.,10km-current-all-family.csv,TRUE
60,All Time 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official and unofficial results from family members over all-time.,10km-alltime-all-family.csv,TRUE
70,Current Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official and unofficial results from family members over the last 12 months.,halfmarathon-current-all-family.csv,TRUE
80,All Time Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official and unofficial results from family members over all-time.,halfmarathon-alltime-all-family.csv,TRUE
90,Current Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official and unofficial results from family members over the last 12 months.,marathon-current-all-family.csv,TRUE
100,All Time Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official and unofficial results from family members over all-time.,marathon-alltime-all-family.csv,TRUE
110,Current Official Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official race results from family members over the last 12 months.,overall-current-official-family.csv,TRUE
120,All Time Official Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official race results from family members over all-time.,overall-alltime-official-family.csv,TRUE
130,Current Official 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official race results from family members over the last 12 months.,5km-current-official-family.csv,TRUE
140,All Time Official 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official race results from family members over all-time.,5km-alltime-official-family.csv,TRUE
150,Current Official 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official race results from family members over the last 12 months.,10km-current-official-family.csv,TRUE
160,All Time Official 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official race results from family members over all-time.,10km-alltime-official-family.csv,TRUE
170,Current Official Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official race results from family members over the last 12 months.,halfmarathon-current-official-family.csv,TRUE
180,All Time Official Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official race results from family members over all-time.,halfmarathon-alltime-official-family.csv,TRUE
190,Current Official Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official race results from family members over the last 12 months.,marathon-current-official-family.csv,TRUE
200,All Time Official Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official race results from family members over all-time.,marathon-alltime-official-family.csv,TRUE
